Semana,abrantes,agueda,aguiar da beira,alandroal,albergaria-a-velha,albufeira,alcacer do sal,alcanena,alcobaca,alcochete,alcoutim,alenquer,alfandega da fe,alijo,aljezur,aljustrel,almada,almeida,almeirim,almodovar,alpiarca,alter do chao,alvaiazere,alvito,amadora,amarante,amares,anadia,angra do heroismo,ansiao,arcos de valdevez,arganil,armamar,arouca,arraiolos,arronches,arruda dos vinhos,aveiro,avis,azambuja,baiao,barcelos,barrancos,barreiro,batalha,beja,belmonte,benavente,bombarral,borba,boticas,braga,braganca,cabeceiras de basto,cadaval,caldas da rainha,calheta (r.a.a.),calheta (r.a.m.),camara de lobos,caminha,campo maior,cantanhede,carrazeda de ansiaes,carregal do sal,cartaxo,cascais,castanheira de pera,castelo branco,castelo de paiva,castelo de vide,castro daire,castro marim,castro verde,celorico da beira,celorico de basto,chamusca,chaves,cinfaes,coimbra,condeixa-a-nova,constancia,coruche,corvo,covilha,crato,cuba,desconhecido,elvas,entroncamento,espinho,esposende,estarreja,estrangeiro,estremoz,evora,fafe,faro,felgueiras,ferreira do alentejo,ferreira do zezere,figueira da foz,figueira de castelo rodrigo,figueiro dos vinhos,fornos de algodres,freixo de espada a cinta,fronteira,funchal,fundao,gaviao,gois,golega,gondomar,gouveia,grandola,guarda,guimaraes,horta,idanha-a-nova,ilhavo,lagoa,lagoa (r.a.a),lagos,lajes das flores,lajes do pico,lamego,leiria,lisboa,loule,loures,lourinha,lousa,lousada,macao,macedo de cavaleiros,machico,madalena,mafra,maia,mangualde,manteigas,marco de canaveses,marinha grande,marvao,matosinhos,mealhada,meda,melgaco,mertola,mesao frio,mira,miranda do corvo,miranda do douro,mirandela,mogadouro,moimenta da beira,moita,moncao,monchique,mondim de basto,monforte,montalegre,montemor-o-novo,montemor-o-velho,montijo,mora,mortagua,moura,mourao,murca,murtosa,nazare,nelas,nisa,nordeste,obidos,odemira,odivelas,oeiras,oleiros,olhao,oliveira de azemeis,oliveira de frades,oliveira do bairro,oliveira do hospital,ourem,ourique,ovar,pacos de ferreira,palmela,pampilhosa da serra,paredes,paredes de coura,pedrogao grande,penacova,penafiel,penalva do castelo,penamacor,penedono,penela,peniche,peso da regua,pinhel,pombal,ponta delgada,ponta do sol,ponte da barca,ponte de lima,ponte de sor,portalegre,portel,portimao,porto,porto de mos,porto moniz,porto santo,povoacao,povoa de lanhoso,povoa de varzim,proenca-a-nova,redondo,reguengos de monsaraz,resende,ribeira brava,ribeira de pena,ribeira grande,rio maior,sabrosa,sabugal,salvaterra de magos,santa comba dao,santa cruz,santa cruz da graciosa,santa cruz das flores,santa maria da feira,santa marta de penaguiao,santana,santarem,santiago do cacem,santo tirso,sao bras de alportel,sao joao da madeira,sao joao da pesqueira,sao pedro do sul,sao roque do pico,sao vicente,sardoal,satao,seia,seixal,sernancelhe,serpa,serta,sesimbra,setubal,sever do vouga,silves,sines,sintra,sobral de monte agraco,soure,sousel,tabua,tabuaco,tarouca,tavira,terras de bouro,tomar,tondela,torre de moncorvo,torres novas,torres vedras,trancoso,trofa,vagos,vale de cambra,valenca,valongo,valpacos,velas,vendas novas,viana do alentejo,viana do castelo,vidigueira,vieira do minho,vila da praia da vitoria,vila de rei,vila do bispo,vila do conde,vila do porto,vila flor,vila franca de xira,vila franca do campo,vila nova da barquinha,vila nova de cerveira,vila nova de famalicao,vila nova de foz coa,vila nova de gaia,vila nova de paiva,vila nova de poiares,vila pouca de aguiar,vila real,vila real de santo antonio,vila velha de rodao,vila verde,vila vicosa,vimioso,vinhais,viseu,vizela,vouzela
 40-2020,10,7,2,1,2,6,3,2,11,2,1,10,2,1,3,4,41,2,4,0,2,2,4,3,36,8,3,10,5,4,1,3,1,2,3,2,3,12,1,8,8,14,1,21,3,10,4,4,2,2,2,13,20,2,3,13,1,2,5,4,3,8,1,2,4,42,2,17,3,1,2,4,1,1,9,4,9,5,27,8,3,2,0,8,2,1,1,7,4,7,6,8,2,4,13,13,11,5,5,0,18,5,0,1,0,1,25,9,2,1,4,23,2,4,10,19,5,7,6,4,4,7,1,1,1,16,143,9,35,7,2,5,3,1,5,2,12,17,4,1,11,5,0,26,6,3,2,3,2,4,2,5,4,3,3,13,7,0,0,0,1,7,5,15,4,2,2,0,4,3,4,1,2,1,2,9,29,27,1,9,9,0,2,4,16,3,8,11,16,2,15,3,1,5,14,1,5,2,4,8,2,4,9,14,2,1,8,6,2,1,18,42,7,2,0,1,5,11,4,3,2,3,1,2,6,6,1,7,7,3,7,1,0,22,3,4,15,7,18,2,5,1,3,0,0,0,2,6,29,2,2,3,10,29,4,7,6,59,4,2,2,3,2,1,9,0,5,6,5,7,12,3,9,4,6,7,16,8,1,5,1,19,3,0,4,1,6,15,0,1,19,1,1,2,18,3,59,2,3,1,11,2,1,8,0,0,4,22,3,1
 41-2020,8,14,3,3,3,7,1,3,8,5,2,9,1,2,3,2,26,4,9,1,2,0,2,0,29,10,3,3,4,5,6,3,1,2,0,2,4,17,0,7,3,17,1,22,2,5,3,4,3,3,1,25,20,1,1,15,2,1,3,3,1,12,1,3,9,54,1,15,10,1,3,4,4,0,2,4,9,5,31,4,4,5,0,7,1,7,4,4,3,5,8,5,6,4,15,13,10,11,1,0,7,2,4,3,4,0,27,11,4,0,2,24,4,4,10,36,1,0,6,5,2,6,0,1,6,20,146,18,35,4,3,5,2,5,3,1,12,15,5,2,12,8,2,26,3,1,4,1,3,0,1,2,4,0,1,17,5,1,2,0,5,5,3,15,2,4,4,1,0,1,6,3,6,0,0,6,33,34,1,12,12,0,3,2,11,1,8,9,14,2,5,1,0,2,17,0,2,1,2,4,2,1,9,13,3,3,6,8,2,1,10,44,6,0,0,0,3,12,2,2,5,2,2,4,1,7,1,1,8,1,7,0,2,17,1,3,8,8,16,3,2,0,5,0,1,1,1,4,22,2,2,7,5,25,0,5,8,70,0,2,4,2,1,2,7,0,10,9,5,9,15,2,8,7,4,6,14,6,1,4,2,18,2,1,7,3,0,14,1,2,34,1,1,1,25,3,46,3,4,5,10,1,4,11,2,1,7,23,2,7
 42-2020,9,8,2,1,4,5,4,6,14,2,5,10,2,3,4,4,32,2,2,0,3,1,1,3,38,15,3,3,9,2,10,3,2,5,2,2,3,16,2,6,4,19,0,21,2,9,0,8,2,1,2,28,18,4,2,17,1,3,5,8,2,7,2,6,8,44,0,9,4,1,1,2,1,2,2,3,10,5,17,5,1,9,0,8,3,1,2,9,7,10,5,2,10,1,13,12,10,12,1,6,15,2,0,2,2,1,25,4,1,2,0,34,3,1,8,29,2,5,9,7,4,5,0,0,4,24,122,14,38,7,3,13,4,6,2,3,13,23,3,1,12,5,1,34,3,1,4,1,1,1,3,1,6,3,2,13,5,1,1,2,3,5,4,7,1,4,5,2,5,7,7,2,2,2,5,10,39,30,0,10,8,2,6,7,9,3,10,10,14,2,17,4,2,4,10,4,2,1,2,2,1,4,11,12,4,1,7,4,6,2,10,66,3,0,2,0,2,10,5,1,2,2,3,2,1,5,0,4,7,5,5,1,1,22,2,2,10,8,10,3,2,4,2,2,0,2,4,5,37,1,4,4,8,27,3,8,4,77,2,10,1,4,4,0,6,2,7,13,2,5,15,0,2,2,3,1,13,4,0,5,3,19,3,8,3,2,2,14,0,1,16,0,0,2,22,0,59,1,1,7,5,6,1,8,1,0,3,22,2,1
 43-2020,11,17,4,4,6,6,8,4,8,3,0,7,2,4,0,1,34,3,1,0,5,1,3,1,26,15,2,10,7,3,8,3,1,1,2,2,0,16,1,8,3,21,1,14,5,16,4,7,6,1,2,23,15,5,7,10,2,1,6,3,2,13,1,4,9,42,1,12,4,4,2,5,2,2,5,1,5,4,36,5,2,6,0,8,1,0,0,8,3,5,11,5,9,0,11,9,9,6,4,5,9,2,2,0,2,0,31,4,1,2,0,35,5,3,10,31,2,4,6,3,4,10,2,2,5,19,137,18,41,3,0,5,3,3,0,0,18,21,4,0,10,8,1,18,1,1,4,4,0,4,2,3,2,2,1,20,5,2,3,0,2,5,4,10,2,0,2,0,2,4,3,4,1,4,3,5,25,36,2,2,9,5,8,5,12,1,7,13,12,1,9,7,1,5,15,0,2,1,2,5,7,6,15,9,4,3,17,3,6,0,8,60,3,1,1,0,1,9,3,3,1,2,0,1,3,8,2,6,5,7,5,0,0,31,1,1,15,7,23,3,3,0,1,0,1,2,2,11,34,1,7,1,9,37,1,9,3,67,3,6,3,2,0,2,6,4,5,4,4,8,22,0,5,3,5,4,19,4,1,4,4,16,0,4,5,1,0,21,0,1,34,2,1,1,22,0,54,0,1,3,7,4,3,6,4,5,2,19,2,2
 44-2020,12,7,1,1,3,4,3,7,9,5,1,11,2,5,3,5,48,3,6,5,1,2,1,0,27,25,3,5,12,2,9,6,0,4,2,1,1,7,3,3,7,20,0,16,2,17,4,7,1,2,0,22,12,6,5,15,1,1,2,6,7,10,0,2,4,46,1,8,2,0,4,1,3,3,5,5,11,2,22,0,0,6,0,19,3,3,1,7,1,15,5,9,6,7,15,14,12,16,5,7,19,0,2,1,2,1,15,4,4,2,3,42,5,6,9,37,1,9,9,10,1,12,0,0,5,24,142,19,30,12,2,20,3,7,2,1,13,29,2,1,16,6,1,44,2,1,7,2,1,4,4,2,7,4,5,15,6,2,0,2,4,5,10,11,0,2,3,2,1,1,3,6,0,0,3,7,22,37,1,12,6,1,7,6,10,2,13,15,15,1,24,3,1,2,15,2,2,0,3,3,3,7,18,4,2,5,9,3,6,2,16,79,5,1,0,0,5,11,3,2,1,3,9,0,4,6,0,3,9,5,13,2,0,19,1,2,11,10,20,3,3,5,2,2,1,3,6,10,33,1,4,5,15,32,7,6,8,68,4,5,0,6,0,2,9,0,12,5,10,8,14,2,7,9,4,4,24,5,2,3,1,22,6,4,3,0,1,14,2,0,21,2,3,2,21,5,50,1,1,5,13,8,1,7,7,1,4,19,4,1
 45-2020,10,8,2,1,0,6,4,1,17,4,1,19,3,3,1,2,43,3,13,3,2,1,1,1,43,19,5,3,10,2,6,4,0,1,1,3,1,15,1,2,4,19,0,20,3,13,2,4,2,0,2,36,21,3,7,12,0,1,3,3,3,9,2,1,5,38,2,13,7,1,1,2,1,3,3,10,7,3,28,6,0,11,0,9,1,1,3,3,6,6,9,13,7,9,13,15,11,12,0,4,18,0,1,1,2,0,15,10,0,1,1,37,7,7,9,42,3,5,7,2,2,7,0,0,7,31,151,16,36,6,5,21,3,5,2,0,21,32,9,2,9,10,5,37,6,2,3,2,1,2,0,2,10,3,6,17,12,1,3,1,3,6,1,16,2,2,6,0,4,3,4,2,3,2,5,6,43,38,6,3,12,7,3,4,16,2,13,22,17,1,20,2,0,5,20,4,0,1,5,12,0,5,20,11,1,3,14,3,5,1,8,73,2,0,0,1,7,13,4,2,2,1,3,3,6,6,1,5,6,0,5,1,0,28,2,3,9,6,20,7,11,3,3,2,2,3,3,9,35,0,5,10,2,37,6,7,6,62,3,2,1,3,2,1,4,3,10,10,4,8,17,6,7,3,8,3,17,9,2,3,0,13,1,5,8,2,4,16,1,2,24,1,2,1,28,4,71,2,2,5,14,9,2,17,3,2,1,28,3,1
 46-2020,22,5,2,0,4,6,5,1,19,7,2,16,3,5,1,2,64,3,5,2,4,1,1,0,36,16,5,7,5,2,7,1,1,1,0,3,4,22,3,4,6,23,0,13,2,14,5,3,6,2,2,25,14,3,6,12,0,5,5,13,2,6,3,2,7,49,1,14,4,1,4,3,5,6,3,3,13,8,34,2,0,11,0,12,0,3,5,4,5,5,12,8,10,2,11,9,12,13,2,2,28,3,1,1,0,1,29,20,1,5,2,30,2,7,10,41,5,6,13,4,2,11,0,1,3,25,162,11,36,9,4,16,3,4,3,0,21,33,5,2,10,8,1,64,11,3,5,1,1,8,2,4,7,1,4,19,6,1,2,2,2,7,6,13,4,6,4,0,2,3,4,4,3,3,1,5,28,36,1,10,17,6,4,4,18,1,16,18,17,3,27,1,0,3,23,1,2,2,6,7,2,1,14,15,3,9,14,6,10,1,15,77,4,1,1,1,9,9,1,4,1,2,4,3,5,6,5,6,8,6,6,1,0,31,1,0,11,11,26,5,6,3,0,1,3,1,1,7,33,1,7,7,10,39,6,7,8,61,6,6,4,2,1,1,7,1,17,5,2,7,20,4,5,7,7,1,22,1,0,4,3,10,0,4,4,1,2,20,0,4,38,3,3,3,37,0,82,0,1,2,12,3,1,7,5,3,2,25,5,2
 47-2020,14,11,2,1,6,4,8,8,10,5,0,11,2,5,2,0,52,3,4,1,4,2,1,0,37,17,5,4,6,4,7,6,1,2,3,2,2,11,1,2,7,21,0,18,2,10,5,5,6,1,1,33,11,2,3,16,1,4,5,7,1,9,2,2,7,54,3,14,4,2,4,2,3,5,9,1,9,5,25,4,1,7,0,15,2,1,1,8,4,11,5,5,5,3,6,18,10,17,3,3,32,4,2,2,4,0,24,17,2,1,2,34,5,5,20,52,6,11,11,6,2,5,0,2,9,35,160,15,53,8,7,16,4,4,2,3,15,23,3,1,17,3,1,40,4,2,7,2,2,4,5,6,9,0,1,18,9,1,2,1,4,6,11,12,5,4,5,0,1,2,1,3,2,2,4,4,48,34,2,2,23,3,6,3,13,1,12,15,24,4,19,1,2,6,21,0,0,2,4,5,3,4,17,12,1,3,17,7,20,0,13,88,8,1,0,2,1,19,4,2,2,6,2,0,4,4,2,7,6,4,6,1,2,26,3,4,16,10,23,3,3,1,8,0,1,1,4,11,42,1,4,2,9,29,4,8,4,62,2,9,1,4,3,1,2,2,11,7,2,10,10,4,11,5,5,4,30,8,1,1,3,21,0,4,5,2,0,18,0,3,21,4,0,3,37,3,58,2,1,2,11,7,0,7,0,2,4,35,6,3
 48-2020,12,5,2,3,7,5,2,10,14,2,2,8,1,4,0,2,53,3,11,2,4,2,2,0,46,20,4,4,7,8,7,0,1,5,0,3,11,24,0,6,5,24,0,33,2,10,3,4,3,3,2,33,14,7,6,15,2,6,5,8,1,11,2,4,3,47,0,20,4,2,3,1,5,1,9,4,11,8,28,2,3,13,0,18,3,2,2,1,5,9,6,3,6,3,9,11,10,18,3,2,19,2,0,4,3,1,22,11,3,2,2,37,7,8,11,46,2,5,12,6,4,11,0,1,9,29,139,19,57,2,4,10,1,6,2,2,12,27,5,2,11,9,2,45,5,1,2,2,0,7,9,3,14,4,2,19,8,4,2,0,2,11,4,13,5,3,3,0,1,3,3,3,4,2,1,9,38,43,2,6,11,1,4,2,8,1,4,11,16,3,22,4,2,6,30,2,2,1,1,16,2,0,13,8,2,3,14,4,13,2,12,70,9,0,2,1,7,21,2,2,5,3,2,2,4,9,2,4,3,4,6,0,1,41,1,2,21,4,19,4,0,3,3,1,0,1,4,8,41,2,4,5,12,33,9,6,4,60,2,8,3,3,1,7,7,2,7,7,4,7,18,3,7,2,4,7,24,4,2,4,2,23,4,3,5,0,0,21,0,3,29,1,3,3,46,1,55,6,1,3,12,0,2,9,3,3,6,19,8,5
 49-2020,16,11,2,1,2,11,2,5,13,6,5,9,4,5,1,4,58,2,8,2,2,3,2,1,48,17,3,12,12,7,10,3,1,6,2,1,3,17,0,6,4,37,1,29,2,6,1,4,3,1,0,47,13,2,1,16,0,1,7,9,2,10,2,2,11,55,1,23,2,0,7,1,1,2,10,2,21,9,35,5,1,6,0,10,1,2,0,3,6,13,13,11,7,4,10,16,11,12,0,3,28,0,4,0,4,4,24,13,4,1,0,38,5,4,20,41,2,7,4,7,3,8,1,0,5,36,169,14,54,6,8,11,3,9,2,2,16,41,7,0,9,10,4,36,5,1,6,2,0,5,2,4,9,3,6,16,4,5,3,1,3,6,4,8,4,3,4,0,3,4,6,3,3,0,0,7,27,39,3,10,12,2,5,9,15,1,7,12,17,3,24,2,1,8,11,3,5,1,3,6,5,3,15,20,3,2,10,1,13,2,13,72,10,2,3,1,6,29,3,1,3,0,2,2,8,8,1,14,2,2,2,2,0,32,3,4,18,7,23,1,3,1,5,1,4,2,6,15,34,3,7,3,10,35,7,8,2,64,1,6,7,6,1,1,8,0,16,10,6,13,10,5,8,5,10,4,25,10,3,3,0,22,3,7,10,5,0,21,4,2,24,3,3,1,32,1,71,1,1,5,10,4,1,8,4,2,1,26,5,2
 50-2020,10,12,7,3,2,4,3,2,16,4,1,18,1,3,1,0,44,5,6,2,5,3,3,1,46,14,2,14,8,3,5,5,4,3,3,2,3,27,1,6,5,34,1,32,3,11,3,3,4,4,1,43,12,3,0,17,4,4,7,6,4,7,2,6,11,59,0,22,7,5,7,2,3,2,14,7,21,4,42,1,1,13,0,20,4,2,3,11,6,18,11,10,14,1,15,10,14,18,1,1,32,3,1,3,2,2,25,8,1,3,2,38,6,7,13,40,3,7,10,4,1,8,0,1,7,31,174,10,53,9,0,9,4,7,8,0,22,25,8,0,11,18,2,50,10,0,6,5,0,2,5,4,7,3,4,18,3,3,6,2,4,10,8,16,5,2,4,2,1,4,6,9,4,1,3,11,36,44,1,12,17,2,4,3,14,2,10,7,23,4,25,4,3,3,15,2,5,1,2,10,8,5,17,9,4,4,17,3,7,2,10,71,10,1,1,0,9,19,3,1,2,3,6,6,3,11,2,11,10,6,2,1,0,27,2,1,18,10,23,3,5,3,5,0,2,3,2,7,48,5,9,6,14,37,6,10,2,67,2,12,3,4,2,0,5,4,10,9,5,14,22,5,10,8,7,5,23,12,1,1,3,29,1,4,5,3,2,15,3,1,28,4,3,3,30,3,87,6,0,7,22,6,0,10,3,5,0,19,3,2
 51-2020,10,8,11,5,4,7,5,5,16,3,1,13,3,7,1,3,61,1,12,1,1,1,2,3,42,21,2,10,5,2,5,6,1,6,3,3,2,13,2,8,5,24,1,21,5,9,3,3,4,3,2,53,15,6,2,22,1,4,7,6,2,13,1,4,8,45,1,12,4,1,7,4,2,1,5,2,15,6,42,7,1,5,0,15,6,4,3,9,3,14,8,9,3,7,14,9,14,7,2,1,18,3,3,4,5,4,27,7,4,4,2,34,7,7,13,32,6,7,15,4,3,6,1,2,8,33,171,22,61,12,4,9,5,7,7,2,19,18,2,0,10,11,4,46,0,2,3,4,2,5,3,6,5,0,1,17,10,0,2,1,6,6,15,17,2,5,4,0,6,0,4,7,3,0,1,11,29,37,2,12,16,6,6,6,22,1,14,6,31,5,17,3,0,5,12,2,4,0,3,10,2,5,16,10,2,7,17,7,9,3,13,80,8,1,2,2,14,18,1,1,1,3,4,3,2,6,2,10,5,2,10,3,0,21,2,4,21,9,22,1,6,0,5,2,1,1,3,6,41,2,8,1,14,37,9,9,4,77,3,5,1,3,1,2,6,1,16,12,5,6,17,4,10,7,6,5,23,14,2,3,0,23,3,6,6,3,1,16,2,0,29,3,1,6,41,2,67,0,1,7,19,4,0,11,4,5,6,29,1,2
 52-2020,14,13,3,3,8,5,2,4,13,6,3,9,3,11,0,3,54,5,8,0,3,2,3,1,38,18,4,11,6,5,11,4,6,4,3,4,3,12,4,6,6,22,0,30,3,10,3,7,2,2,4,36,18,5,2,23,0,5,6,9,2,8,1,3,2,68,0,15,2,1,4,0,1,1,5,5,18,5,40,9,1,9,0,24,1,2,3,7,4,5,9,6,9,5,16,14,13,5,3,4,15,5,3,1,1,1,27,11,1,1,1,49,5,1,13,35,0,9,10,5,3,10,2,1,13,34,183,16,44,7,5,6,4,6,2,0,22,32,7,1,8,12,6,40,3,1,2,1,0,4,4,3,11,0,2,20,3,2,2,2,7,7,10,15,10,0,5,0,4,5,5,4,1,0,5,10,52,48,1,7,14,3,3,8,13,0,6,7,23,1,15,6,3,4,16,1,3,1,1,16,3,4,14,9,3,5,11,5,8,3,14,63,5,1,2,2,5,19,3,1,1,3,6,0,3,7,2,6,10,2,6,1,1,31,4,0,16,8,13,2,6,2,4,0,2,1,2,7,37,0,7,6,24,32,4,10,2,64,3,2,0,6,2,3,4,3,10,5,2,6,20,3,6,6,2,5,17,6,2,7,5,28,2,2,3,6,1,21,5,0,25,1,1,1,25,7,71,1,2,5,17,4,0,13,1,1,0,24,3,4
 53-2020,4,9,3,1,5,5,0,3,5,2,1,9,1,3,0,1,32,2,10,3,2,3,1,1,26,10,2,3,10,5,6,2,5,5,2,2,4,9,4,8,3,23,0,19,3,10,0,4,5,0,2,13,8,3,2,15,0,1,2,3,0,5,0,0,7,37,0,11,2,1,5,0,2,1,3,0,11,6,28,5,1,8,0,8,1,1,1,2,1,5,3,5,4,1,8,7,10,6,3,2,10,1,3,0,0,0,19,4,1,2,1,29,8,1,8,17,1,3,4,3,2,8,1,0,6,17,102,5,33,4,3,5,2,5,1,3,8,12,4,1,4,7,2,24,6,2,1,3,0,1,4,2,3,2,2,13,3,1,3,0,2,4,7,6,4,1,2,2,1,2,1,4,4,0,5,7,19,26,1,5,9,2,5,1,4,2,7,5,18,3,16,2,1,2,13,4,2,1,1,7,4,6,6,9,0,0,4,3,3,1,9,64,5,1,1,1,5,9,2,0,3,1,3,1,3,3,0,5,7,4,6,1,0,22,3,0,13,5,8,3,2,2,4,0,1,1,2,3,18,1,4,3,8,22,4,9,3,46,3,4,0,3,3,2,2,2,11,4,4,10,16,2,4,4,2,1,18,5,0,3,12,14,0,2,4,0,0,15,1,2,13,1,4,0,18,6,42,2,1,2,10,4,0,6,1,2,2,15,3,1
 53-2020,4,1,1,1,2,3,3,1,12,2,0,8,1,2,0,3,24,1,4,1,0,0,1,0,17,11,0,3,1,3,5,3,1,1,2,2,2,12,0,8,3,15,0,12,4,7,2,3,2,0,0,16,4,3,2,8,0,1,1,3,0,4,0,0,1,22,1,11,3,1,0,1,2,1,3,5,6,3,19,3,0,3,1,4,1,3,1,3,2,3,5,10,5,1,10,8,8,6,4,2,7,1,2,1,0,0,9,3,0,2,1,13,1,0,7,14,3,4,3,1,1,1,0,0,4,11,91,16,33,3,2,0,1,2,1,0,14,8,6,0,1,4,1,17,2,1,3,9,0,2,2,2,1,0,1,10,1,3,2,1,0,6,2,6,4,2,2,0,3,4,1,2,1,0,3,4,22,25,2,9,16,0,3,6,7,2,3,2,10,1,9,0,1,4,7,1,1,0,1,1,1,1,9,8,0,2,5,2,7,0,4,31,2,1,1,0,2,5,4,0,3,3,1,0,1,4,0,5,4,1,4,0,0,16,3,1,9,2,6,0,3,1,1,0,0,0,2,4,22,0,3,4,7,16,0,3,1,32,0,2,1,6,2,0,2,1,10,8,2,4,10,0,0,4,2,1,5,4,0,3,4,9,2,1,2,1,1,6,0,3,17,2,0,2,12,0,29,0,1,2,11,5,1,5,0,2,4,16,0,1
 01-2021,23,25,5,6,7,10,7,6,28,2,2,23,2,7,2,3,66,9,12,3,1,3,5,0,61,18,5,12,7,8,4,7,4,8,3,3,10,23,2,10,10,31,2,37,9,11,1,13,7,3,2,46,16,3,10,31,1,6,4,10,4,17,5,7,6,75,2,16,2,1,5,3,5,0,13,6,16,9,58,8,2,8,0,15,6,4,4,10,7,15,11,5,9,4,31,21,14,16,2,8,23,3,8,2,1,0,30,10,3,1,2,57,7,8,12,39,3,11,11,8,0,19,0,1,9,44,232,28,70,9,1,15,7,12,6,1,33,35,11,1,15,8,1,49,16,5,8,17,2,3,9,13,2,3,1,24,11,3,1,4,4,7,11,24,6,5,5,7,1,1,2,6,7,1,11,12,48,57,0,15,23,2,8,9,12,4,13,11,27,4,22,7,2,6,15,1,5,1,2,10,8,10,30,12,2,3,14,4,15,4,20,108,13,2,0,1,4,23,3,2,6,7,3,0,6,9,2,6,14,5,6,0,1,51,5,2,26,10,22,4,5,7,7,2,0,3,5,7,56,0,3,10,18,45,8,15,8,101,1,7,4,5,4,0,14,2,9,13,4,16,32,10,8,11,8,3,21,11,1,7,8,16,3,3,3,2,1,33,1,3,42,2,1,5,48,8,74,0,5,6,15,4,3,14,7,6,5,29,8,1
 02-2021,19,19,5,4,17,12,12,5,27,6,1,16,7,3,5,5,90,6,6,5,7,13,6,3,72,14,8,18,5,8,16,10,1,6,3,7,7,32,3,12,11,39,1,34,5,24,2,18,8,4,1,46,16,3,14,29,2,5,3,5,7,20,5,4,11,89,1,22,2,2,10,3,1,6,11,5,28,13,81,9,2,7,0,24,6,4,4,17,5,18,9,22,5,6,29,15,16,12,5,6,32,10,5,7,1,3,29,8,3,4,3,56,8,8,23,44,5,11,16,13,2,23,0,1,15,43,288,28,107,13,6,11,12,5,9,3,40,43,11,1,14,15,4,52,7,8,3,10,3,5,9,9,9,9,7,39,4,6,4,2,5,17,6,15,10,0,9,1,3,6,4,5,3,1,10,13,67,65,0,15,23,1,11,9,25,2,24,13,29,7,18,5,4,12,15,5,4,3,6,18,4,5,26,13,3,11,20,13,16,4,28,96,9,0,0,4,10,13,7,1,10,5,2,3,5,11,3,6,7,9,10,1,1,57,5,1,33,16,25,4,11,5,8,0,4,2,5,13,88,3,11,10,22,88,9,20,5,121,3,10,4,10,3,3,24,0,16,15,4,21,54,8,12,12,6,13,23,6,0,5,10,31,3,8,2,3,2,38,1,2,51,2,4,5,53,7,107,1,2,4,11,9,2,24,7,2,6,42,6,6
 03-2021,19,15,13,2,11,21,23,7,33,3,2,24,6,5,4,3,93,3,15,5,2,5,2,4,79,19,3,16,4,15,19,10,4,3,4,4,18,32,2,10,9,35,0,56,5,24,3,16,4,6,3,35,16,8,8,44,1,6,10,6,3,19,2,7,10,89,3,34,6,7,15,3,2,10,14,4,23,8,63,6,0,11,0,18,5,12,7,14,7,18,19,17,7,13,27,16,22,15,12,7,34,7,6,10,1,1,36,14,1,9,5,49,4,6,11,44,5,6,17,6,2,18,0,0,25,53,333,28,104,12,7,6,6,7,6,0,45,33,7,5,12,16,4,61,22,8,12,9,1,4,8,13,23,8,2,40,11,2,1,6,4,20,26,18,9,6,14,6,5,6,6,9,6,4,7,12,61,90,1,17,31,3,17,15,25,7,23,14,50,16,28,4,7,9,25,14,5,0,7,22,7,6,37,11,5,8,19,10,9,3,16,104,15,0,0,1,8,21,5,4,5,4,3,3,8,15,1,6,15,4,9,3,1,42,4,2,44,13,41,3,10,5,8,0,4,2,12,17,64,0,12,4,21,85,5,14,10,152,13,18,1,8,0,5,20,0,25,32,1,27,62,8,10,8,5,14,22,10,1,12,13,38,2,7,5,3,3,34,0,8,83,1,5,7,34,8,99,9,11,9,16,13,4,12,4,0,5,46,1,10
 04-2021,18,14,10,3,14,15,21,12,35,9,2,20,8,3,2,7,76,10,20,4,4,1,10,3,90,13,5,18,3,13,9,12,5,1,4,0,16,36,1,11,5,46,2,47,7,26,5,25,5,6,2,41,20,4,7,37,0,3,12,7,6,23,2,9,16,85,3,25,3,6,13,6,5,5,5,9,12,5,75,9,1,19,0,31,2,2,7,12,3,11,15,14,5,5,28,10,23,6,4,7,32,7,5,4,2,7,44,14,1,7,6,62,7,9,15,32,0,6,9,7,3,11,0,3,7,46,342,26,110,17,4,7,5,7,5,0,41,35,9,1,14,11,2,55,16,2,10,6,1,10,10,8,25,9,9,40,7,3,4,2,2,20,10,22,0,2,12,1,5,2,10,10,9,1,14,14,86,76,2,22,35,4,13,15,27,1,21,12,52,9,16,7,7,14,13,11,1,3,5,11,7,7,34,12,3,13,13,20,10,2,11,81,6,2,3,3,5,22,6,6,12,2,0,4,2,18,6,6,19,9,5,2,0,39,3,4,46,6,24,5,5,7,5,1,4,0,16,17,83,4,8,5,28,94,4,12,4,163,7,6,3,12,0,4,7,6,16,30,2,24,50,2,19,10,7,5,16,4,2,2,9,22,3,9,3,1,1,27,2,6,76,2,2,8,40,4,101,4,4,8,22,10,0,13,3,0,4,41,5,8
